ECO,total
C67,370
C42,345
A45,324
D02,319
D37,316
B90,315
A07,273
B12,265
C50,262
E15,261
A05,248
E11,233
C65,231
B40,228
B33,225
C88,223
A30,221
B22,216
E32,207
B23,205
A13,188
B06,187
E12,187
B10,182
A46,181
E06,178
D38,178
C11,177
B30,174
E04,173
A04,169
D35,167
A15,166
D30,166
B51,164
D45,160
D11,158
C53,158
E10,149
D00,145
E00,142
B07,140
C07,139
C02,139
A48,137
B01,133
C78,132
C45,132
B31,131
D85,130
