ECO,total
A45,682
B90,526
D02,515
B23,454
B12,453
A04,442
D00,420
A05,403
A40,390
B06,383
B40,383
A07,363
A01,352
B00,351
C50,338
B01,314
B30,308
B10,305
A00,303
B22,296
C02,291
A46,287
A15,278
B07,278
D37,275
C42,267
B33,265
D35,253
B31,251
C11,237
C00,235
A13,227
D30,227
A06,221
B13,212
D31,207
B51,205
C41,203
A48,199
E06,196
B50,194
E11,194
D11,183
C77,182
C65,180
D45,174
D10,171
B20,169
C67,167
C55,164
