0;33;2;0;1;40.06;0;640.78
1;33;2;2;0;40.06;0;639.78
1;35;3;1;0;40.06;0;640.78
2;31;3;2;0;40.06;0;646.78
2;31;3;3;0;40.06;0;639.78
3;28;2;4;-2;36.86;0;651.78
3;25;2;2;0;36.86;0;601.49
2;27;2;2;0;36.86;0;591.49
1;27;2;1;0;36.86;0;591.49
2;24;2;1;0;36.86;0;610.49
3;24;3;2;0;36.86;0;616.49
2;26;3;2;0;36.86;0;606.49
2;26;3;1;0;36.86;0;615.49
1;27;3;1;0;36.86;0;608.49
2;26;2;1;0;36.86;0;603.49
3;21;1;3;0;35.86;0;619.49
1;23;3;3;-1;35.86;0;584.49
1;25;3;3;-1;35.86;0;575.49
2;26;3;4;-1;35.86;0;581.49
1;25;3;3;-1;34.86;0;556.49
2;22;3;3;-1;34.86;0;563.49
2;23;2;4;-1;34.86;0;559.49
2;22;2;3;0;34.86;0;566.49
2;22;2;3;1;34.86;0;552.49
3;19;2;4;1;34.86;0;550.99
3;18;2;4;1;34.86;0;547.99
5;16;3;3;1;33.86;0;545.49
4;13;3;4;0;32.86;0;490.19
3;16;3;1;1;27.76;0;437.19
3;14;3;2;0;24.43;0;434.84
3;11;6.2;5;1;24.43;0;366.9
3;10;6.2;4;1;19.33;0;328.3
0;12;4;3;1;19.33;0;312.3
0;12;3;4;1;19.33;0;314.3
2;7;3;4;0;16;0;340.3
0;33;2;0;1;40.06;0;640.78
1;35;3;0;1;40.06;0;650.78
2;31;3;1;0;40.06;0;636.78
2;33;3;2;0;40.06;0;649.78
2;27;3;2;1;39.06;0;655.78
3;28;1;3;1;39.06;0;666.78
2;27;1;3;-1;39.06;0;661.78
1;28;2;4;-1;39.06;0;643.78
2;24;2;4;-1;35.73;0;653.78
2;25;2;4;-1;35.73;0;593.49
1;25;2;2;-1;32.4;0;531.89
1;28;2;3;0;32.4;0;530.89
0;28;2;2;0;32.4;0;524.89
1;27;2;2;0;32.4;0;525.89
1;27;2;2;0;32.4;0;519.89
2;27;2;3;0;32.4;0;525.89
2;27;2;3;-1;32.4;0;506.89
3;28;2;2;-1;32.4;0;514.89
4;23;2;4;-1;32.4;0;470.89
5;16;2;5;-2;29.2;0;463.89
4;17;2;5;-2;29.2;0;453.89
5;15;2;4;-2;29.2;0;469.89
5;14;5.2;2;-2;29.2;0;450.89
4;12;4;2;-2;28.2;0;421.89
5;11;3;2;-1;25;0;401.29
4;9;3;3;-1;25;0;317.99
0;33;2;0;1;40.06;0;640.78
1;35;3;0;1;40.06;0;650.78
2;30;3;1;1;40.06;0;670.78
2;33;1;2;0;39.06;0;668.78
1;32;1;2;0;35.73;0;604.18
2;26;3.2;1;1;35.73;0;570.18
3;25;4.2;1;1;35.73;0;575.18
3;24;5.2;1;1;35.73;0;569.18
3;24;5.2;2;1;35.73;0;565.18
3;21;3;3;1;35.73;0;573.18
3;22;4;3;1;35.73;0;579.18
2;22;3;1;1;32.53;0;531.89
3;20;3;2;1;32.53;0;529.89
4;21;11.8;3;1;32.53;0;535.89
4;25;11.8;2;1;32.53;0;533.89
5;22;11.8;4;1;32.53;0;547.89
4;21;11.8;3;1;32.53;0;538.89
4;18;11.8;3;0;31.53;0;532.89
5;16;11.8;4;0;28.2;0;529.89
5;11;4;3;0;28.2;0;469.59
4;11;3;3;-2;27.2;0;457.59
5;11;3;3;-2;27.2;0;450.59
3;12;3;2;-2;27.2;0;399.59
2;11;5.2;3;-2;27.2;0;400.24
4;10;3;4;-2;27.2;0;416.24
3;9;3;3;-2;27.2;0;368.24
2;6;2;2;-2;22.1;0;237.84
3;4;3;2;-2;22.1;0;220.19
4;3;4;3;-2;22.1;1;229.19
0;33;2;0;1;40.06;0;640.78
0;32;2;0;1;39.06;0;630.78
1;34;4;0;1;39.06;0;640.78
0;34;4;2;1;39.06;0;634.78
3;29;5.2;1;1;39.06;0;634.78
3;26;5.2;1;1;39.06;0;622.78
4;24;6.2;2;0;39.06;0;634.78
2;27;6.2;3;1;39.06;0;600.78
2;30;4;2;1;39.06;0;620.78
3;25;4;2;0;38.06;0;635.78
4;27;4;2;0;38.06;0;622.78
3;27;4;1;1;38.06;0;613.78
3;28;4;1;1;38.06;0;610.78
2;26;4;1;1;38.06;0;605.78
2;28;3;2;1;38.06;0;621.78
2;28;3;1;1;38.06;0;631.78
2;31;3;3;0;38.06;0;623.78
3;30;3;3;0;38.06;0;630.78
5;27;3;4;0;38.06;0;647.78
4;26;3;4;1;38.06;0;634.78
3;23;3;3;1;34.86;0;575.49
3;22;3;2;1;34.86;0;579.49
3;25;3;2;1;34.86;0;576.49
3;24;3;2;1;34.86;0;576.49
5;24;3;3;1;34.86;0;592.49
4;22;3;2;1;31.53;0;529.89
3;21;3;2;1;31.53;0;503.89
2;20;2;2;-1;30.53;0;496.89
1;21;2;2;-1;30.53;0;467.89
3;19;3;2;-1;30.53;0;478.89
4;17;3;2;-1;30.53;0;485.89
3;14;3;2;-1;30.53;0;464.89
2;13;3;4;-1;30.53;0;442.89
2;11;3;3;-1;30.53;0;448.89
3;12;3;2;-1;30.53;0;470.89
4;8;3;3;-2;29.53;0;436.6
4;8;3;1;-2;29.53;1;360.3
0;33;2;0;1;40.06;0;640.78
1;35;3;0;1;40.06;0;650.78
2;30;3;1;1;40.06;0;670.78
2;32;1;3;-1;39.06;0;670.78
2;26;1;2;-1;38.06;0;666.78
2;30;1;2;0;38.06;0;663.78
3;27;2;1;1;38.06;0;674.78
