0.54;0.5;0.21;0.5;0.5;13.66
0.28;0.5;0.22;0.5;0.5;13.82
0.38;0.5;0.24;0.5;0.43;13.54
0.39;0.5;0.24;0.5;0.43;13.73
0.11;0.5;0.08;0.5;0.5;13.6
0.25;0.5;0.18;0.5;0.46;13.82
0.04;0.48;0.26;0.5;0.5;13.24
0.91;0.47;0.41;0.5;0.5;15.57
0.87;0.47;0.44;0.5;0.5;14.95
0.63;0.5;0.33;0.5;0.5;14.09
0.37;0.5;0.29;0.5;0.46;13.99
0.3;0.5;0.31;0.5;0.5;14.23
0.23;0.5;0.31;0.5;0.45;13.47
0.08;0.5;0.16;0.5;0.46;13.2
0.08;0.5;0.16;0.5;0.5;13.58
0.28;0.5;0.36;0.5;0.47;14.59
0.13;0.5;0.36;0.5;0.47;14.4
0.08;0.5;0.4;0.5;0.5;14.24
0.13;0.49;0.4;0.51;0.46;14.35
0.12;0.48;0.42;0.5;0.47;14.32
0.05;0.47;0.33;0.5;0.47;14.25
0.03;0.49;0.3;0.5;0.5;13.17
0.55;0.5;0.26;0.5;0.5;14.52
0.47;0.5;0.3;0.5;0.5;14.72
0.23;0.5;0.37;0.51;0.46;14.59
0.26;0.49;0.41;0.5;0.49;14.5
0.21;0.48;0.43;0.5;0.48;14.41
0.12;0.49;0.42;0.5;0.47;14.49
0.04;0.48;0.41;0.5;0.48;14.53
0.06;0.48;0.39;0.5;0.5;14.4
0.05;0.49;0.37;0.5;0.5;14.04
0.07;0.5;0.32;0.5;0.5;14.02
0.09;0.5;0.22;0.52;0.42;12.96
0.17;0.47;0.1;0.5;0.5;13.39
0.12;0.47;0.15;0.5;0.5;14.01
0.08;0.48;0.25;0.5;0.5;13.02
0.1;0.5;0.22;0.5;0.46;13.77
0.09;0.5;0.25;0.5;0.47;13.77
0.07;0.5;0.25;0.5;0.47;13.64
0.04;0.5;0.17;0.5;0.48;13.55
0.19;0.5;0.17;0.5;0.5;13.55
0.14;0.5;0.37;0.5;0.5;14.69
0.22;0.49;0.4;0.51;0.46;14.6
0.21;0.49;0.42;0.5;0.49;14.48
0.13;0.48;0.43;0.5;0.47;14.47
0.1;0.48;0.41;0.5;0.5;14.42
0.07;0.5;0.31;0.51;0.45;14.33
0.06;0.49;0.33;0.5;0.49;13.75
0.09;0.5;0.26;0.5;0.47;13.14
0.15;0.5;0.15;0.5;0.5;13.69
0.42;0.5;0.33;0.5;0.46;14.17
0.65;0.5;0.29;0.5;0.46;14.08
0.48;0.5;0.32;0.5;0.46;14.69
0.34;0.5;0.31;0.5;0.46;14.58
0.3;0.5;0.35;0.5;0.48;14.41
0.12;0.49;0.42;0.5;0.47;14.49
0.2;0.48;0.43;0.51;0.47;14.56
0.14;0.49;0.41;0.5;0.47;14.47
0.05;0.48;0.38;0.5;0.48;14.11
0.05;0.5;0.34;0.5;0.5;13.58
0.38;0.49;0.37;0.5;0.46;14.39
0.38;0.49;0.41;0.5;0.47;14.08
0.47;0.5;0.3;0.5;0.5;14.41
